"origin","destination","mode","duration_text","duration_sec","status"
"Casa da musica","Praia de Matosinhos","driving","15 mins",870,"OK"
"Casa da musica","Praia de Matosinhos","transit","35 mins",2086,"OK"
"Casa da musica","Praia de Matosinhos","walking","1 hour 24 mins",5053,"OK"
"Casa da musica","Praia de Matosinhos","bicycling","17 mins",1042,"OK"
"Amsterdam centraal","Amsterdam ArenA","driving","21 mins",1237,"OK"
"Amsterdam centraal","Amsterdam ArenA","transit","24 mins",1434,"OK"
"Amsterdam centraal","Amsterdam ArenA","walking","2 hours 0 mins",7194,"OK"
"Amsterdam centraal","Amsterdam ArenA","bicycling","28 mins",1665,"OK"
"Casa da musica","Praia de Matosinhos","driving","15 mins",870,"OK"
"Casa da musica","Praia de Matosinhos","transit","35 mins",2086,"OK"
"Casa da musica","Praia de Matosinhos","walking","1 hour 24 mins",5053,"OK"
"Casa da musica","Praia de Matosinhos","bicycling","17 mins",1042,"OK"
"Amsterdam centraal","Amsterdam ArenA","driving","21 mins",1237,"OK"
"Amsterdam centraal","Amsterdam ArenA","transit","24 mins",1434,"OK"
"Amsterdam centraal","Amsterdam ArenA","walking","2 hours 0 mins",7194,"OK"
"Amsterdam centraal","Amsterdam ArenA","bicycling","28 mins",1665,"OK"
